13.453624 61.032778	8.77e+02  3.69e+04  3.76e+04	 0.00 15.52	 0.3789 -0.7336 -0.7828	
13.453624 61.032778	1.67e+03  3.61e+04  3.75e+04	 0.00 13.53	 -0.4095 0.5698 -0.9047	
13.453624 61.032778	1.35e+03  3.63e+04  3.76e+04	 0.00 5.94	 0.4033 -0.5871 -0.9775	
13.453624 61.032778	6.50e+02  3.70e+04  3.76e+04	 0.00 14.67	 0.2980 0.0328 0.6654	
13.453624 61.032778	1.79e+03  3.60e+04  3.75e+04	 0.00 8.96	 -0.1177 0.0537 -0.9955	
13.453624 61.032778	2.02e+03  3.56e+04  3.76e+04	 0.00 -7.12	 -0.0928 0.1154 0.9761	
13.453624 61.032778	9.62e+02  3.69e+04  3.74e+04	 0.00 -10.90	 0.1720 0.2488 0.9596	
13.453624 61.032778	2.15e+03  3.60e+04  3.72e+04	 0.00 20.53	 0.4782 -0.2599 -0.8289	
13.453624 61.032778	1.92e+03  3.57e+04  3.76e+04	 0.00 -5.12	 -0.3366 0.3692 -0.9879	
13.453624 61.032778	2.13e+03  3.55e+04  3.76e+04	 0.00 -12.12	 0.0073 -0.2487 0.9330	
13.453624 61.032778	1.49e+03  3.63e+04  3.75e+04	 0.00 11.12	 0.0062 -0.0327 0.9422	
13.453624 61.032778	2.16e+03  3.56e+04  3.76e+04	 0.00 -18.20	 -0.0695 0.1873 -0.8417	
13.453624 61.032778	1.37e+03  3.66e+04  3.73e+04	 0.00 15.24	 0.1950 -0.3794 -0.9697	
13.453624 61.032778	1.50e+03  3.64e+04  3.73e+04	 0.00 -14.54	 -0.5227 -0.4378 0.9121	
13.453624 61.032778	1.21e+03  3.68e+04  3.73e+04	 0.00 21.11	 -0.7448 -0.1117 0.4555	
13.453624 61.032778	1.77e+03  3.59e+04  3.76e+04	 0.00 1.61	 -0.0833 -0.0534 0.9995	
13.453624 61.032778	1.98e+03  3.58e+04  3.75e+04	 0.00 -19.72	 0.9161 -0.6070 -0.7970	
13.453624 61.032778	1.57e+03  3.61e+04  3.76e+04	 0.00 7.33	 0.5684 -0.4559 -0.9813	
13.453624 61.032778	2.03e+03  3.60e+04  3.72e+04	 0.00 -21.09	 0.5002 -0.5786 -0.7794	
13.453624 61.032778	1.53e+03  3.61e+04  3.76e+04	 0.00 3.50	 -0.5126 0.5408 -0.9991	
13.453624 61.032778	6.28e+02  3.71e+04  3.76e+04	 0.00 -6.42	 -0.5933 -0.6263 0.9991	
13.453624 61.032778	2.05e+03  3.59e+04  3.73e+04	 0.00 21.34	 -0.2183 0.0274 -0.7846	
13.453624 61.032778	7.71e+02  3.69e+04  3.76e+04	 0.00 2.71	 0.4939 -0.4916 -0.9998	
13.453624 61.032778	8.42e+02  3.69e+04  3.76e+04	 0.00 -4.80	 -0.2411 0.2264 -0.9998	
13.453624 61.032778	1.25e+03  3.65e+04  3.76e+04	 0.00 5.77	 -0.3829 0.4104 -0.9977	
13.453624 61.032778	1.67e+03  3.60e+04  3.76e+04	 0.00 2.09	 -0.1919 0.2169 -0.9994	
13.453624 61.032778	1.83e+03  3.63e+04  3.72e+04	 0.00 -17.14	 0.4918 0.5856 0.9508	
13.453624 61.032778	1.33e+03  3.64e+04  3.75e+04	 0.00 9.40	 0.6550 0.4813 0.9685	
13.453624 61.032778	5.38e+02  3.71e+04  3.76e+04	 0.00 5.40	 0.0714 -0.0271 0.9769	
13.453624 61.032778	1.29e+03  3.66e+04  3.74e+04	 0.00 -12.47	 -0.2455 -0.2185 0.9904	
13.453624 61.032778	3.58e+02  3.73e+04  3.76e+04	 0.00 3.46	 -0.0904 0.1547 -0.9785	
13.453624 61.032778	1.73e+03  3.62e+04  3.73e+04	 0.00 16.20	 -0.3145 -0.0903 -0.8879	
13.453624 61.032778	1.60e+03  3.60e+04  3.76e+04	 0.00 0.25	 0.8646 -0.8637 -1.0000	
13.453624 61.032778	1.03e+03  3.68e+04  3.75e+04	 0.00 -7.94	 0.8566 0.8577 0.9988	
13.453624 61.032778	8.04e+02  3.68e+04  3.76e+04	 0.00 2.56	 0.7212 -0.7851 -0.9952	
13.453624 61.032778	1.72e+03  3.59e+04  3.76e+04	 0.00 -1.30	 -0.1123 -0.1086 0.9996	
13.453624 61.032778	2.05e+03  3.58e+04  3.74e+04	 0.00 -21.95	 -0.2373 0.7984 -0.7480	
13.453624 61.032778	5.51e+02  3.71e+04  3.76e+04	 0.00 12.60	 0.1590 0.5025 0.7559	
13.453624 61.032778	3.24e+02  3.73e+04  3.76e+04	 0.00 3.37	 -0.3418 -0.5094 0.9792	
13.453624 61.032778	1.93e+03  3.57e+04  3.76e+04	 0.00 -6.42	 0.2379 0.4147 0.9818	
13.453624 61.032778	1.91e+03  3.60e+04  3.74e+04	 0.00 16.43	 0.1336 -0.4584 -0.8968	
13.453624 61.032778	1.97e+03  3.61e+04  3.72e+04	 0.00 15.58	 0.6487 0.6815 0.9626	
13.453624 61.032778	5.86e+02  3.71e+04  3.76e+04	 0.00 8.55	 0.9021 -0.7733 -0.9607	
13.453624 61.032778	2.17e+03  3.57e+04  3.75e+04	 0.00 10.03	 0.9293 -0.9192 -0.9928	
13.453624 61.032778	8.68e+02  3.69e+04  3.75e+04	 0.00 -14.28	 -0.4278 0.8518 -0.8379	
13.453624 61.032778	5.71e+01  3.76e+04  3.76e+04	 0.00 4.00	 0.8991 -0.6792 -0.2967	
13.453624 61.032778	1.44e+03  3.65e+04  3.74e+04	 0.00 14.69	 -0.4152 -0.7789 0.8898	
13.453624 61.032778	1.44e+03  3.62e+04  3.76e+04	 0.00 6.50	 0.1786 -0.1202 -0.9776	
13.453624 61.032778	1.35e+03  3.65e+04  3.74e+04	 0.00 -12.56	 0.9975 0.9062 0.9209	
13.453624 61.032778	2.04e+03  3.57e+04  3.75e+04	 0.00 -16.55	 0.5032 -0.1104 -0.8557	
13.453624 61.032778	1.09e+03  3.66e+04  3.76e+04	 0.00 -8.57	 -0.3849 0.0618 -0.9449	
13.453624 61.032778	1.07e+03  3.66e+04  3.76e+04	 0.00 5.65	 -0.2063 0.3797 -0.9796	
13.453624 61.032778	1.90e+02  3.75e+04  3.76e+04	 0.00 -4.31	 -0.0907 -0.2688 -0.9335	
13.453624 61.032778	1.23e+03  3.66e+04  3.74e+04	 0.00 -13.78	 -0.7023 0.4409 -0.9477	
13.453624 61.032778	1.69e+03  3.60e+04  3.76e+04	 0.00 0.51	 -0.4965 0.5008 -1.0000	
13.453624 61.032778	2.18e+03  3.55e+04  3.76e+04	 0.00 16.25	 0.1908 -0.1621 -0.8735	
13.453624 61.032778	1.87e+03  3.62e+04  3.72e+04	 0.00 -17.43	 0.9982 -0.9164 -0.9078	
13.453624 61.032778	8.68e+02  3.70e+04  3.74e+04	 0.00 10.47	 0.3212 -0.2941 -0.9954	
13.453624 61.032778	1.59e+03  3.65e+04  3.72e+04	 0.00 17.05	 0.9865 0.7636 0.8535	
13.453624 61.032778	1.98e+03  3.57e+04  3.76e+04	 0.00 -6.38	 0.7601 -0.7978 -0.9966	
